"all_themes","major_topic","organization_org_state","short_label","measure","amount"
"ncmrr","Child Development & Behavior","CA","Rehabilitation","Awards",3
"ncmrr","Child Development & Behavior","CA","Rehabilitation","Funding",0.929181
"ncmrr","Child Development & Behavior","CT","Rehabilitation","Awards",1
"ncmrr","Child Development & Behavior","CT","Rehabilitation","Funding",0.654043
"ncmrr","Child Development & Behavior","MA","Rehabilitation","Awards",1
"ncmrr","Child Development & Behavior","MA","Rehabilitation","Funding",0.07804
"ncmrr","Child Development & Behavior","OH","Rehabilitation","Awards",1
"ncmrr","Child Development & Behavior","OH","Rehabilitation","Funding",0.354268
"ncmrr","Child Development & Behavior","PA","Rehabilitation","Awards",1
"ncmrr","Child Development & Behavior","PA","Rehabilitation","Funding",0.497426
"ncmrr","Dev. Biology & Congenital Anomalies","AZ","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","AZ","Rehabilitation","Funding",0.510446
"ncmrr","Dev. Biology & Congenital Anomalies","CA","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","CA","Rehabilitation","Funding",0.055114
"ncmrr","Dev. Biology & Congenital Anomalies","CO","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","CO","Rehabilitation","Funding",0.01
"ncmrr","Dev. Biology & Congenital Anomalies","CT","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","CT","Rehabilitation","Funding",0.467962
"ncmrr","Dev. Biology & Congenital Anomalies","MA","Rehabilitation","Awards",3
"ncmrr","Dev. Biology & Congenital Anomalies","MA","Rehabilitation","Funding",1.458254
"ncmrr","Dev. Biology & Congenital Anomalies","MI","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","MI","Rehabilitation","Funding",0.3861
"ncmrr","Dev. Biology & Congenital Anomalies","NH","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","NH","Rehabilitation","Funding",0.499037
"ncmrr","Dev. Biology & Congenital Anomalies","NY","Rehabilitation","Awards",3
"ncmrr","Dev. Biology & Congenital Anomalies","NY","Rehabilitation","Funding",0.70703
"ncmrr","Dev. Biology & Congenital Anomalies","TX","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","TX","Rehabilitation","Funding",0.199705
"ncmrr","Dev. Biology & Congenital Anomalies","WA","Rehabilitation","Awards",2
"ncmrr","Dev. Biology & Congenital Anomalies","WA","Rehabilitation","Funding",0.128265
"ncmrr","Dev. Biology & Congenital Anomalies","WI","Rehabilitation","Awards",1
"ncmrr","Dev. Biology & Congenital Anomalies","WI","Rehabilitation","Funding",0.225
"ncmrr","Gynecologic Health & Disease","FL","Rehabilitation","Awards",1
"ncmrr","Gynecologic Health & Disease","FL","Rehabilitation","Funding",0.440651
"ncmrr","Inellectual & Developmental Disabilities","CA","Rehabilitation","Awards",3
"ncmrr","Inellectual & Developmental Disabilities","CA","Rehabilitation","Funding",1.286881
"ncmrr","Inellectual & Developmental Disabilities","GA","Rehabilitation","Awards",1
"ncmrr","Inellectual & Developmental Disabilities","GA","Rehabilitation","Funding",0.238706
"ncmrr","Inellectual & Developmental Disabilities","MA","Rehabilitation","Awards",2
